mshui0,gshui0,mshui9,gshui9,mrangqui0,grangqui0,mrangqui9,grangqui9,pwin0,pdraw0,plost0,pwin9,pdraw9,plost9,bf_idx_m,bf_idx_d,bf_idx_g,profit3,loss3,profit1,loss1,profit0,loss0,hot3,cool3,hot1,cool1,hot0,cool0,kwin
0.880,0.980,0.800,1.049,0,0.5,0,0.25,2.20,3.20,3.40,1.85,3.50,4.20,51.3,25.6,23.1,0.0,33.0,31.0,0.0,41.0,0.0,37.0,0.0,0.0,33.0,0.0,45.0,3
0.980,0.830,1.049,0.800,0,0.5,0,0.5,2.00,3.30,3.75,1.95,3.10,4.33,57.1,21.9,21.1,0.0,54.0,43.0,0.0,47.0,0.0,51.0,0.0,0.0,42.0,0.0,48.0,3
1.020,0.770,1.000,0.850,0,1.25,0,1.0,1.53,3.60,6.00,1.40,4.33,8.50,23.2,10.9,65.9,15.0,0.0,59.0,0.0,0.0,187.0,0.0,13.0,0.0,60.0,133.0,0.0,3
0.970,0.820,0.850,1.000,0,1.25,0,0.75,1.61,3.60,5.00,1.36,4.75,9.00,63.1,15.2,21.8,0.0,26.0,65.0,0.0,45.0,0.0,33.0,0.0,0.0,68.0,0.0,54.0,3
0.950,0.899,0.875,0.975,0,1.25,0,1.25,1.72,3.50,4.00,1.36,4.33,9.50,62.2,13.6,24.2,0.0,29.0,70.0,0.0,49.0,0.0,31.0,0.0,0.0,72.0,0.0,54.0,0
1.080,0.730,1.000,0.800,0,0.0,0.25,0,3.75,3.10,2.10,3.10,3.10,2.37,35.7,15.8,48.6,2.0,0.0,56.0,0.0,0.0,45.0,0.0,4.0,0.0,55.0,44.0,0.0,0
0.875,0.975,0.774,1.100,0,0.75,0,0.75,1.57,3.60,6.50,1.66,3.50,5.50,60.1,22.9,17.0,0.0,35.0,45.0,0.0,62.0,0.0,40.0,0.0,0.0,47.0,0.0,66.0,3
0.850,0.950,0.950,0.850,0,1.0,0,0.75,1.70,3.50,5.25,1.50,4.00,7.00,51.0,25.4,23.6,0.0,23.0,41.0,0.0,41.0,0.0,29.0,0.0,0.0,41.0,0.0,47.0,3
1.100,0.700,0.850,0.950,0,0.25,0.25,0,3.20,3.10,2.30,2.50,3.10,2.90,32.0,26.6,41.3,8.0,0.0,19.0,0.0,0.0,24.0,0.0,9.0,0.0,22.0,26.0,0.0,3
0.970,0.929,1.140,0.770,0,1.0,0,1.25,1.50,4.33,6.00,1.53,4.50,5.25,46.4,27.7,25.8,0.0,18.0,30.0,0.0,30.0,0.0,21.0,0.0,0.0,32.0,0.0,39.0,3
1.049,0.850,0.960,0.940,0,0.75,0,0.75,1.70,3.80,4.75,1.75,3.80,4.33,33.9,39.8,26.3,0.0,3.0,0.0,19.0,23.0,0.0,2.0,0.0,19.0,0.0,0.0,26.0,3
0.875,0.975,0.800,1.049,0,1.0,0,1.25,1.28,4.75,13.00,1.53,4.00,6.00,53.1,18.2,28.8,0.0,27.0,59.0,0.0,38.0,0.0,31.0,0.0,0.0,61.0,0.0,46.0,3
0.875,0.975,1.024,0.825,0.75,0,0.75,0,5.75,3.75,1.60,4.20,3.75,1.80,23.3,28.1,48.6,39.0,0.0,25.0,0.0,0.0,26.0,0.0,42.0,0.0,27.0,29.0,0.0,1
1.070,0.720,0.774,1.100,0,0.75,0,0.5,1.72,3.60,4.75,1.83,3.50,4.33,35.9,36.1,27.9,0.0,7.0,0.0,1.0,21.0,0.0,6.0,0.0,5.0,0.0,0.0,23.0,0
0.825,0.975,1.000,0.800,0.5,0,0.25,0,3.00,3.50,2.00,3.60,3.60,1.95,11.0,30.6,58.4,71.0,0.0,22.0,0.0,0.0,46.0,0.0,74.0,0.0,17.0,51.0,0.0,3
0.950,0.899,0.800,1.049,0,0.25,0,0.25,2.00,3.40,3.75,2.20,3.40,3.20,52.0,28.9,19.1,0.0,44.0,19.0,0.0,47.0,0.0,46.0,0.0,0.0,21.0,0.0,48.0,3
0.899,0.950,1.100,0.774,0,0.0,0,0.5,2.04,3.25,3.75,2.54,3.30,2.70,42.8,37.8,19.4,0.0,33.0,0.0,15.0,47.0,0.0,33.0,0.0,9.0,0.0,0.0,47.0,1
1.070,0.720,0.875,0.975,0,0.25,0,0.5,1.83,3.50,4.33,2.37,3.50,2.80,39.6,21.5,38.9,0.0,24.0,39.0,0.0,0.0,3.0,22.0,0.0,0.0,39.0,5.0,0.0,3
0.899,0.950,1.049,0.800,0,0.0,0,0.25,2.37,3.25,3.00,2.62,3.30,2.62,32.4,42.9,24.7,0.0,0.0,0.0,35.0,25.0,0.0,0.0,0.0,29.0,0.0,0.0,24.0,0
0.774,1.100,1.100,0.774,0,0.0,0,0.25,2.40,3.10,3.10,2.40,3.40,2.80,14.6,32.0,53.4,54.0,0.0,0.0,2.0,0.0,59.0,0.0,55.0,0.0,1.0,64.0,0.0,1
1.040,0.750,0.825,1.024,0,1.5,0,1.0,1.44,4.20,7.00,1.36,4.50,9.00,18.1,18.6,63.3,20.0,0.0,18.0,0.0,0.0,176.0,0.0,17.0,0.0,23.0,123.0,0.0,3
0.750,1.040,0.975,0.875,0,0.0,0,0.25,2.25,3.10,3.40,2.40,3.25,2.90,51.9,29.5,18.6,0.0,53.0,18.0,0.0,49.0,0.0,51.0,0.0,0.0,20.0,0.0,49.0,0
0.720,1.070,1.049,0.750,0,0.25,0,0.5,2.00,3.20,3.20,1.95,3.40,3.90,82.5,13.7,3.8,0.0,91.0,69.0,0.0,91.0,0.0,92.0,0.0,0.0,69.0,0.0,92.0,3
0.770,1.020,0.899,0.899,1.25,0,1.0,0,5.00,4.00,1.50,7.50,4.20,1.44,11.9,3.8,84.3,81.0,0.0,93.0,0.0,0.0,46.0,0.0,83.0,0.0,94.0,51.0,0.0,0
0.960,0.940,1.040,0.860,0,0.5,0,0.5,1.95,3.40,3.80,1.95,3.40,3.90,56.4,21.4,22.1,0.0,45.0,45.0,0.0,40.0,0.0,49.0,0.0,0.0,46.0,0.0,46.0,3
